1510,GreenfieId-Central,GreenfieId-Central High School   ,810 N. Broadway Street,Greenfield,46140,46140
1509,Martinsville,Martinsville High School,1360 E Gray St,Martinsville,46151,46151-1888
1498,Seymour Senior,Seymour Senior High School,1350 W 2nd St,Seymour,47274,47274-2252
1470,Mishawaka,Mishawaka High School,1202 Lincolnway E,Mishawaka,46544,46544-2798
1421,Pendleton Heights,Pendleton Heights High School,One Arabian Dr,Pendleton,46064,46064-9003
1409,South Side,South Side High School,3601 S Calhoun St,Fort Wayne,46807,46807-2096
1402,Moorsville,Moorsville High School   ,550 N. Indiana St.,Moorseville,46158,46158
1392,Northridge,Northridge High School,56779 Northridge Dr,Middlebury,46540,46540-9407
1355,Evansville F.,Evansville F. J. Reitz High School,350 Dreier Blvd.,Evansville,47712,47712
1348,Hammond Morton,Hammond Morton Senior High School ,6915 Grand Ave.,Hammond,46323,46323
1340,Wayne,Wayne High School,9100 Winchester Rd,Fort Wayne,46819,46819-2499
1332,Jennings County,Jennings County High School,800 W Walnut,North Vernon,47265,47265-1461
1331,Richmond,Richmond High School,380 Hub Etchison Pky,Richmond,47374,47374-5398
1302,East Central,East Central High School,"1 Trojan Pl, Suite A",St Leon,47012,47012-9228
1265,Hobart,Hobart High School,2211 E Tenth St,Hobart,46342,46342-5313
1262,East Noble,East Noble High School,901 Garden St,Kendallville,46755,46755-2257
1249,Riley,Riley High School,1902 Fellows St,South Bend,46613,46613-0000
1243,Evansville Harrison,Evansville Harrison High Sch  ,211 Fielding Rd.,Evansville,47715,47715
1236,East Chicago,East Chicago Central High School,1401 East 144th Street,East Chicago,46312,46312-2582
1235,Logansport Community,Logansport Community High School,1 Berry Ln,Logansport,46947,46947-3999
1227,Mount Vernon,Mount Vernon High School,700 Harriett St,Mount Vernon,47620,47620-2098
1200,Greenwood Community,Greenwood Community High Sch,615 W Smith Valley Rd,Greenwood,46142,46142-3096
1197,Lowell Senior,Lowell Senior High School,2051 E Commercial Ave,Lowell,46356,46356-2115
1185,Evans Central,Evans Central High School  ,5400 First Ave.,Evansville,47710,47710
1184,Cathedral,Cathedral High School,5225 E 56th St,Indianapolis,46226,46226-1403
1184,Roncalli,Roncalli High School,3300 Prague Rd,Indianapolis,46227,46227-7096
1170,DeKaIb,DeKaIb High School   ,3424 C.R. 427,Waterloo,46793,46793-9402
1156,Shelbyville Sr,Shelbyville Sr High School,2003 S Miller St,Shelbyville,46176,46176-3295
